dbn,sqrEnrollment,econNeedInd,grd8Ela,grd8Math,attdRate,pctChronAbs,sqrYear,pct10PlusYear1,pct10PlusYear1Lowest3rd,pct10PlusYear2,pct10PlusYear2Lowest3rd,pct10PlusYear3,pct10PlusYear3Lowest3rd,numYear1,numYear1Lowest3rd,numYear2,numYear2Lowest3rd,numYear3,numYear3Lowest3rd,numGradLowest3rd,numPERLowest3rd,pctCCPCILowest3rd,pctCollegeReadyLowest3rd,pctGradLowest3rd,pctPERLowest3rd,pctGradLevel1,pctGradLevel2,pctGradLevel34,numGradLevel1,numGradLevel2,numGradLevel34
07X427,324.0,0.841,2.15,2.09,0.794,0.614,2015,0.753,0.652,0.646,0.531,0.733,0.5,,,,,,,,,0.054,0.162,1.514,0.313,,,,,,
07X473,364.0,0.824,2.15,2.08,0.799,0.574,2015,0.582,0.36,0.659,0.481,0.647,0.462,,,,,,,,,0.0,0.0,1.097,0.222,,,,,,
07X495,486.0,0.805,2.73,2.64,0.927,0.227,2015,0.981,0.943,0.933,0.85,0.896,0.842,,,,,,,,,0.923,0.923,4.385,0.462,,,,,,
07X500,544.0,0.799,2.64,2.58,0.915,0.24,2015,0.782,0.429,0.859,0.8,0.756,0.52,,,,,,,,,0.368,0.158,1.737,0.308,,,,,,
07X520,145.0,0.86,2.06,1.94,0.794,0.609,2015,0.556,0.375,0.485,0.333,0.486,0.267,,,,,,,,,0.036,0.0,1.143,0.04,,,,,,
07X522,563.0,0.824,2.2,2.19,0.814,0.569,2015,0.559,0.304,0.603,0.396,0.51,0.2,,,,,,,,,0.03,0.0,0.977,,,,,,,
07X527,495.0,0.831,2.13,2.12,0.854,0.463,2015,0.81,0.564,0.762,0.5,0.767,0.595,,,,,,,,,0.107,0.053,1.447,0.311,,,,,,
07X547,475.0,0.855,2.11,2.01,0.809,0.479,2015,0.676,0.636,0.574,0.515,0.466,0.343,,,,,,,,,0.121,0.121,1.508,0.125,,,,,,
07X548,587.0,0.82,2.39,2.31,0.801,0.489,2015,0.735,0.488,0.736,0.512,0.617,0.457,,,,,,,,,0.0,0.0,1.957,0.338,,,,,,
07X551,591.0,0.882,2.15,2.02,0.828,0.484,2015,0.821,0.679,0.726,0.542,0.513,0.36,,,,,,,,,0.256,0.233,1.093,0.361,,,,,,
07X600,375.0,0.798,2.08,2.03,0.83,0.523,2015,0.748,0.622,0.837,0.781,0.688,0.417,,,,,,,,,0.269,0.0,2.058,0.3,,,,,,
07X655,78.0,0.833,2.15,2.1,0.7,0.839,2015,,,,,,,,,,,,,,,0.091,0.0,1.011,0.107,,,,,,
07X670,554.0,0.834,2.18,2.12,0.79,0.571,2015,0.588,0.378,0.461,0.314,0.52,0.267,,,,,,,,,0.143,0.1,1.3,0.209,,,,,,
08X269,565.0,0.853,2.29,2.24,0.864,0.452,2015,0.645,0.355,0.553,0.29,0.551,0.435,,,,,,,,,0.0,0.0,1.288,0.417,,,,,,
08X282,345.0,0.767,2.21,2.09,0.787,0.641,2015,0.534,0.381,0.671,0.48,0.644,0.5,,,,,,,,,0.077,0.077,1.218,0.281,,,,,,
08X293,444.0,0.73,2.28,2.09,0.831,0.496,2015,0.804,0.629,0.587,0.333,0.684,0.568,,,,,,,,,0.152,0.015,2.098,0.34,,,,,,
08X295,70.0,0.707,2.11,1.97,0.814,0.676,2015,,,,,,,,,,,,,,,0.03,0.0,1.076,0.222,,,,,,
