dbn,schoolName,cohortYear,cohort,numTotalCohort,numGrads,pctGrad
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2008,5 year June,119,97.0,0.8151260376
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,5 year June,147,112.0,0.7619047546000001
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,5 year June,116,72.0,0.6206896591000001
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,5 year June,116,81.0,0.6982758331
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,5 year June,112,83.0,0.7410713959
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,5 year June,87,72.0,0.8275862122
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,5 year June,52,45.0,0.8653845978
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,5 year June,64,54.0,0.84375
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2014,6 year June,87,82.0,0.9425287628
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2013,6 year June,78,70.0,0.8974359131
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2012,6 year June,64,50.0,0.78125
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2011,6 year June,81,72.0,0.888888855
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2010,6 year June,71,57.0,0.802816925
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2009,6 year June,88,72.0,0.818181839
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2008,6 year June,118,100.0,0.8474576569
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,6 year June,145,113.0,0.7793103790000001
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,6 year June,117,77.0,0.6581196594
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,6 year June,112,83.0,0.7410713959
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,6 year June,109,84.0,0.7706421661
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,6 year June,89,73.0,0.8202246857
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,6 year June,52,45.0,0.8653845978
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,6 year June,64,54.0,0.84375
01M450,EAST SIDE COMMUNITY SCHOOL,2016,4 year August,89,86.0,0.9662921143
01M450,EAST SIDE COMMUNITY SCHOOL,2015,4 year August,93,84.0,0.9032257842999999
01M450,EAST SIDE COMMUNITY SCHOOL,2014,4 year August,92,89.0,0.9673912811
01M450,EAST SIDE COMMUNITY SCHOOL,2013,4 year August,89,81.0,0.910112381
01M450,EAST SIDE COMMUNITY SCHOOL,2012,4 year August,90,76.0,0.8444444274999999
01M450,EAST SIDE COMMUNITY SCHOOL,2011,4 year August,88,76.0,0.8636363982999999
01M450,EAST SIDE COMMUNITY SCHOOL,2010,4 year August,90,75.0,0.8333333588
01M450,EAST SIDE COMMUNITY SCHOOL,2009,4 year August,78,59.0,0.7564102936
01M450,EAST SIDE COMMUNITY SCHOOL,2008,4 year August,88,64.0,0.7272727202999999
01M450,EAST SIDE COMMUNITY SCHOOL,2007,4 year August,89,63.0,0.7078651428
01M450,EAST SIDE COMMUNITY SCHOOL,2006,4 year August,90,71.0,0.788888855
01M450,EAST SIDE COMMUNITY SCHOOL,2005,4 year August,85,62.0,0.7294117737000001
01M450,EAST SIDE COMMUNITY SCHOOL,2016,4 year June,89,86.0,0.9662921143
01M450,EAST SIDE COMMUNITY SCHOOL,2015,4 year June,93,82.0,0.8817204285
01M450,EAST SIDE COMMUNITY SCHOOL,2014,4 year June,92,88.0,0.956521759
01M450,EAST SIDE COMMUNITY SCHOOL,2013,4 year June,89,80.0,0.8988764191
01M450,EAST SIDE COMMUNITY SCHOOL,2012,4 year June,90,72.0,0.8
01M450,EAST SIDE COMMUNITY SCHOOL,2011,4 year June,88,75.0,0.8522727202999999
01M450,EAST SIDE COMMUNITY SCHOOL,2010,4 year June,90,70.0,0.7777777863
01M450,EAST SIDE COMMUNITY SCHOOL,2009,4 year June,78,56.0,0.7179486847
01M450,EAST SIDE COMMUNITY SCHOOL,2008,4 year June,88,61.0,0.693181839
01M450,EAST SIDE COMMUNITY SCHOOL,2007,4 year June,89,56.0,0.6292134857
01M450,EAST SIDE COMMUNITY SCHOOL,2006,4 year June,90,70.0,0.7777777863
01M450,EAST SIDE COMMUNITY SCHOOL,2005,4 year June,85,61.0,0.7176470947
01M450,EAST SIDE COMMUNITY SCHOOL,2004,4 year June,80,58.0,0.725
01M450,EAST SIDE COMMUNITY SCHOOL,2003,4 year June,79,49.0,0.6202531815
01M450,EAST SIDE COMMUNITY SCHOOL,2002,4 year June,72,45.0,0.625
01M450,EAST SIDE COMMUNITY SCHOOL,2001,4 year June,61,41.0,0.6721311188
01M450,EAST SIDE COMMUNITY SCHOOL,2015,5 year August,92,87.0,0.9456521606
01M450,EAST SIDE COMMUNITY SCHOOL,2014,5 year August,92,90.0,0.9782608795000001
01M450,EAST SIDE COMMUNITY SCHOOL,2013,5 year August,88,84.0,0.9545454407
01M450,EAST SIDE COMMUNITY SCHOOL,2012,5 year August,89,82.0,0.9213483429
01M450,EAST SIDE COMMUNITY SCHOOL,2011,5 year August,89,80.0,0.8988764191
01M450,EAST SIDE COMMUNITY SCHOOL,2010,5 year August,88,78.0,0.8863636017000001
01M450,EAST SIDE COMMUNITY SCHOOL,2009,5 year August,76,66.0,0.8684210204999999
01M450,EAST SIDE COMMUNITY SCHOOL,2008,5 year August,88,69.0,0.7840908813
01M450,EAST SIDE COMMUNITY SCHOOL,2007,5 year August,89,66.0,0.7415730286
01M450,EAST SIDE COMMUNITY SCHOOL,2006,5 year August,91,77.0,0.8461538695999999
01M450,EAST SIDE COMMUNITY SCHOOL,2015,5 year June,92,87.0,0.9456521606
01M450,EAST SIDE COMMUNITY SCHOOL,2014,5 year June,92,90.0,0.9782608795000001
01M450,EAST SIDE COMMUNITY SCHOOL,2013,5 year June,88,84.0,0.9545454407
01M450,EAST SIDE COMMUNITY SCHOOL,2012,5 year June,89,81.0,0.910112381
01M450,EAST SIDE COMMUNITY SCHOOL,2011,5 year June,89,79.0,0.8876404572
01M450,EAST SIDE COMMUNITY SCHOOL,2010,5 year June,88,78.0,0.8863636017000001
01M450,EAST SIDE COMMUNITY SCHOOL,2009,5 year June,76,66.0,0.8684210204999999
01M450,EAST SIDE COMMUNITY SCHOOL,2008,5 year June,88,68.0,0.7727272797000001
01M450,EAST SIDE COMMUNITY SCHOOL,2007,5 year June,89,66.0,0.7415730286
01M450,EAST SIDE COMMUNITY SCHOOL,2006,5 year June,91,75.0,0.8241757965
01M450,EAST SIDE COMMUNITY SCHOOL,2005,5 year June,86,63.0,0.732558136
01M450,EAST SIDE COMMUNITY SCHOOL,2004,5 year June,77,62.0,0.8051947784
01M450,EAST SIDE COMMUNITY SCHOOL,2003,5 year June,79,59.0,0.7468354797000001
01M450,EAST SIDE COMMUNITY SCHOOL,2002,5 year June,72,54.0,0.75
01M450,EAST SIDE COMMUNITY SCHOOL,2001,5 year June,61,45.0,0.7377049255
01M450,EAST SIDE COMMUNITY SCHOOL,2014,6 year June,92,90.0,0.9782608795000001
01M450,EAST SIDE COMMUNITY SCHOOL,2013,6 year June,88,84.0,0.9545454407
01M450,EAST SIDE COMMUNITY SCHOOL,2012,6 year June,89,82.0,0.9213483429
01M450,EAST SIDE COMMUNITY SCHOOL,2011,6 year June,88,80.0,0.9090908813
01M450,EAST SIDE COMMUNITY SCHOOL,2010,6 year June,87,78.0,0.8965517425999999
01M450,EAST SIDE COMMUNITY SCHOOL,2009,6 year June,75,67.0,0.8933333588000001
01M450,EAST SIDE COMMUNITY SCHOOL,2008,6 year June,87,69.0,0.7931034851
01M450,EAST SIDE COMMUNITY SCHOOL,2007,6 year June,89,70.0,0.7865168762
01M450,EAST SIDE COMMUNITY SCHOOL,2006,6 year June,92,77.0,0.8369565582
01M450,EAST SIDE COMMUNITY SCHOOL,2005,6 year June,86,64.0,0.7441860199
01M450,EAST SIDE COMMUNITY SCHOOL,2004,6 year June,78,63.0,0.807692337
01M450,EAST SIDE COMMUNITY SCHOOL,2003,6 year June,78,59.0,0.7564102936
01M450,EAST SIDE COMMUNITY SCHOOL,2002,6 year June,72,55.0,0.763888855
01M450,EAST SIDE COMMUNITY SCHOOL,2001,6 year June,61,46.0,0.7540983581999999
01M458,FORSYTH SATELLITE ACADEMY,2016,4 year August,67,25.0,0.373134346
01M458,FORSYTH SATELLITE ACADEMY,2015,4 year August,79,20.0,0.2531645584
01M458,FORSYTH SATELLITE ACADEMY,2014,4 year August,73,27.0,0.36986301419999995
01M458,FORSYTH SATELLITE ACADEMY,2013,4 year August,94,15.0,0.1595744705
01M458,FORSYTH SATELLITE ACADEMY,2012,4 year August,82,13.0,0.15853658680000002
01M458,FORSYTH SATELLITE ACADEMY,2011,4 year August,87,14.0,0.1609195328
01M458,FORSYTH SATELLITE ACADEMY,2010,4 year August,95,8.0,0.08421052933
01M458,FORSYTH SATELLITE ACADEMY,2009,4 year August,115,11.0,0.09565217018
01M458,FORSYTH SATELLITE ACADEMY,2008,4 year August,102,7.0,0.06862745284999999
01M458,FORSYTH SATELLITE ACADEMY,2007,4 year August,106,7.0,0.06603773594
01M458,FORSYTH SATELLITE ACADEMY,2016,4 year June,67,24.0,0.35820896150000003
01M458,FORSYTH SATELLITE ACADEMY,2015,4 year June,79,17.0,0.2151898766
01M458,FORSYTH SATELLITE ACADEMY,2014,4 year June,73,25.0,0.342465744
01M458,FORSYTH SATELLITE ACADEMY,2013,4 year June,94,14.0,0.1489361668
01M458,FORSYTH SATELLITE ACADEMY,2012,4 year June,82,12.0,0.1463414669
01M458,FORSYTH SATELLITE ACADEMY,2011,4 year June,87,13.0,0.1494252872
01M458,FORSYTH SATELLITE ACADEMY,2010,4 year June,95,8.0,0.08421052933
01M458,FORSYTH SATELLITE ACADEMY,2009,4 year June,115,8.0,0.06956521511
